,authors,contents,datetime,isbn,price,publisher,sale_price,status,thumbnail,title,translators,url
10,['Y. Daniel Liang'],이 책은 누구나 쉽게 따라할 수 있는 파이썬 프로그래밍 언어에 기반하고 있기 때문에 프로그래밍을 통해 얻을 수 있는 논리 능력 향상과 문제 해결력 배양에 가장 적합하다.  비전공자도 쉽게 이해하고 활용할 수 있는 풍부한 예제를 제공하여 프로그래밍의 기본 개념 정립에 도움을 주며 실생활과 밀접하게 관련된 다양한 사례 연구를 통해 실생활의 문제 해결 능력을 자연스럽게 배양시킨다.   이 책을 활용한 프로그래밍 학습을 통해 파이썬 프로그램을 스스로 작성하고,2018-03-02T00:00:00.000+09:00,8920028893 9788920028892,35000,에피스테메,31500,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F397140%3Ftimestamp%3D20230513135958,파이썬,['길준민'],https://search.daum.net/search?w=bookpage&bookId=397140&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC
11,"['염기원', '오지영']","비전공자의 데이터 분석을 위한 『파이썬』은 〈파이썬 기초〉, 〈파이썬을 이용한 데이터 분석 기초〉, 〈시각화 라이브러리 사용하기〉 등 파이썬의 기초적이고 전반적인 내용이 수록되어 있다.",2020-08-20T00:00:00.000+09:00,1159069042 9791159069048,15000,복두출판사,14550,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5460069%3Ftimestamp%3D20250809134413,파이썬,[],https://search.daum.net/search?w=bookpage&bookId=5460069&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC
12,['웨스 맥키니'],"『파이썬 라이브러리를 활용한 데이터 분석』은 NumPy, pandas, matplotlib, IPython 등의 다양한 파이썬 라이브러리를 사용해서 효과적으로 데이터를 분석할 수 있게 알려준 책이다. 연대별 이름 통계 자료, 미 대선 데이터베이스 자료를 기반으로 한 실제 사례 연구를 따라하다 보면 어느덧 데이터에 알맞게 접근하고 효과적으로 분석할 수 있게 된다.",2013-10-01T00:00:00.000+09:00,8968480478 9788968480478,33000,한빛미디어,29700,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F944468%3Ftimestamp%3D20251101110751,파이썬 라이브러리를 활용한 데이터 분석,['김영근'],https://search.daum.net/search?w=bookpage&bookId=944468&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC+%EB%9D%BC%EC%9D%B4%EB%B8%8C%EB%9F%AC%EB%A6%AC%EB%A5%BC+%ED%99%9C%EC%9A%A9%ED%95%9C+%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D
13,['Ryan Mitchell'],"웹에 존재한다면 그것이 어떤 형태이든 데이터로 추출할 수 있다. 필요한 무기는 이 책과 파이썬뿐. BeautifulSoup, 셀레니움, 테서랙트 등 강력한 파이썬 라이브러리 사용법과 함께 API, 인증, 이미지 및 텍스트 인식, 로그인 처리 등 웹 크롤링의 기초부터 고급 기법까지 종합적으로 다루는 유일한 책. 실제 업무와 생활에 적용할 수 있는 예제를 통해 일상의 데이터 분석가가 될 수 있다.",2016-12-01T00:00:00.000+09:00,8968484694 9788968484698,24000,한빛미디어,21600,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F945078%3Ftimestamp%3D20251101110811,파이썬으로 웹 크롤러 만들기,['한선용'],https://search.daum.net/search?w=bookpage&bookId=945078&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC%EC%9C%BC%EB%A1%9C+%EC%9B%B9+%ED%81%AC%EB%A1%A4%EB%9F%AC+%EB%A7%8C%EB%93%A4%EA%B8%B0
14,['김유진'],"파이썬은 인터프리터 방식으로 접근이 쉬운 반면 다양한 기능의 라이브러리들이 제공되어 빅 데이터나 머신 러닝, 순수 과학, 웹, GUI 등 다양한 분야에서 사용되고 있다. 또한, 파이썬은 이식성이 높고 모듈 제작이 가능하기 때문에 자주 사용하는 기능을 모듈로 제작하여 해당 기능이 필요할 때마다 작성한 모듈을 임포트(import)하여 사용할 수 있다. 이처럼 많은 장점을 가진 파이썬은 특히 빅 데이터나 머신 러닝, 사물 인터넷, 웹에서 많이 사용되므로 해당",2019-04-10T00:00:00.000+09:00,1188577255 9791188577255,25000,다본,22500,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4920196%3Ftimestamp%3D20211017164530,파이썬(실무에 바로 적용할 수 있는),[],https://search.daum.net/search?w=bookpage&bookId=4920196&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC%28%EC%8B%A4%EB%AC%B4%EC%97%90+%EB%B0%94%EB%A1%9C+%EC%A0%81%EC%9A%A9%ED%95%A0+%EC%88%98+%EC%9E%88%EB%8A%94%29
15,['이승찬'],"프로그래밍을 한 번도 해본 적이 없어도 괜찮다. 파이썬이 무엇인지 몰라도 상관 없다. 《모두의 파이썬》은 어려운 개념과 복잡한 이론 설명은 최대한 줄이고, 초보자가 프로그래밍을 쉽게 배울 수 있도록 짧고 간단한 예제로 내용을 구성했다.    처음부터 모든 것을 다 이해하지 못해도 괜찮다. 프로그램을 따라서 입력하고, 실행 결과를 확인하며, 책에서 알려주는 대로 에러를 수정해 보자. 어느새 파이썬 프로그램으로 멋진 그림을 그리고, 계산을 하고, 간단한",2016-05-09T00:00:00.000+09:00,1186978899 9791186978894,12000,길벗,10800,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1638316%3Ftimestamp%3D20221107225634,모두의 파이썬,[],https://search.daum.net/search?w=bookpage&bookId=1638316&q=%EB%AA%A8%EB%91%90%EC%9D%98+%ED%8C%8C%EC%9D%B4%EC%8D%AC
16,['김문권'],강화학습은 스스로 학습하는 머신러닝 기법으로서 주식 데이터 학습에 잘 적용되는 기법입니다. 이 책은 파이썬을 이용한 강화학습 기반의 주식투자 시뮬레이션 프로그램을 개발하는 방법을 설명합니다. 이를 위해 이론과 코드 수준에서 상세한 설명을 덧붙였습니다. 이 책을 통해 딥러닝과 강화학습을 이해하고 이를 주식투자를 비롯한 다양한 도메인에서 활용할 수 있을 것입니다.,2018-05-29T00:00:00.000+09:00,1158391064 9791158391065,25000,위키북스,22500,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1582905%3Ftimestamp%3D20211206154248,파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자(위키북스 데이터...,[],https://search.daum.net/search?w=bookpage&bookId=1582905&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC%EA%B3%BC+%EC%BC%80%EB%9D%BC%EC%8A%A4%EB%A5%BC+%EC%9D%B4%EC%9A%A9%ED%95%9C+%EB%94%A5%EB%9F%AC%EB%8B%9D%2F%EA%B0%95%ED%99%94%ED%95%99%EC%8A%B5+%EC%A3%BC%EC%8B%9D%ED%88%AC%EC%9E%90%28%EC%9C%84%ED%82%A4%EB%B6%81%EC%8A%A4+%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4+%EC%8B%9C%EB%A6%AC%EC%A6%88+15%29
17,['김석훈'],"Django 웹 프로그래밍 대표 도서, 『파이썬 웹 프로그래밍』의 최신 개정판! 2015년 첫 출간 즉시, 장고 웹 프로그래밍 대표 도서로 자리매김한 『파이썬 웹 프로그래밍』, 기존 도서의 장점은 살리고, 파이썬 3.x 버전과 장고 2.x 버전 및 독자의 피드백을 반영하여 업그레이드된 개정판으로 돌아왔다. 이 책은 웹 개발자라면 필수적으로 갖춰야 할 거의 모든 지식을 담고 있다. 웹 기본 기술부터 파이썬 웹 개발 시 기초 지식이 되는 표준 라이브러리를",2018-08-17T00:00:00.000+09:00,1162241047 9791162241042,22000,한빛미디어,19800,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1606149%3Ftimestamp%3D20251101110917,파이썬 웹 프로그래밍,[],https://search.daum.net/search?w=bookpage&bookId=1606149&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC+%EC%9B%B9+%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D
18,['권철민'],"자세한 이론 설명과 파이썬 실습을 통해 머신러닝을 완벽하게 배울 수 있습니다!  《파이썬 머신러닝 완벽 가이드》는 이론 위주의 머신러닝 책에서 탈피해 다양한 실전 예제를 직접 구현해 보면서 머신러닝을 체득할 수 있도록 만들었습니다. 캐글과 UCI 머신러닝 리포지토리에서 난이도가 있는 실습 데이터를 기반으로 실전 예제를 구성했고, XGBoost, LightGBM, 스태킹 기법 등 캐글의 많은 데이터 사이언스에서 애용하는 최신 알고리즘과 기법에 대해 매우",2019-02-28T00:00:00.000+09:00,1158391382 9791158391386,38000,위키북스,34200,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4885885%3Ftimestamp%3D20220219152050,파이썬 머신러닝 완벽 가이드(데이터 사이언스 시리즈 31),[],https://search.daum.net/search?w=bookpage&bookId=4885885&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC+%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%99%84%EB%B2%BD+%EA%B0%80%EC%9D%B4%EB%93%9C%28%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4+%EC%8B%9C%EB%A6%AC%EC%A6%88+31%29
19,['조대표'],"『파이썬으로 배우는 알고리즘 트레이딩』은 파이썬이라는 프로그래밍 언어를 이용한 알고리즘 트레이딩을 다룬 책이다. 프로그래밍을 전혀 모르는 비전공자나 HTS(Home Trading System)로 주식 투자 정도만 할 수 있는 일반인도 빠르게 파이썬과 알고리즘 트레이딩을 배울 수 있는 알고리즘 트레이딩 입문서다. 파이썬 기초 문법에 대한 친절한 설명으로 시작해서, 파이썬을 이용한 각 증권사 API 사용법, Pands 를 이용한 데이타 분석 기초와 함께 마지막",2017-05-17T00:00:00.000+09:00,1158390637 9791158390631,40000,위키북스,36000,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1584670%3Ftimestamp%3D20220702165020,파이썬으로 배우는 알고리즘 트레이딩(위키북스 프로그래밍 & 프랙티스...,[],https://search.daum.net/search?w=bookpage&bookId=1584670&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC%EC%9C%BC%EB%A1%9C+%EB%B0%B0%EC%9A%B0%EB%8A%94+%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98+%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%94%A9%28%EC%9C%84%ED%82%A4%EB%B6%81%EC%8A%A4+%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D+%26+%ED%94%84%EB%9E%99%ED%8B%B0%EC%8A%A4+%EC%8B%9C%EB%A6%AC%EC%A6%88+13%29
